(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '192.168.1.127'), ('Scr. Port: ', '63639'), ('Dst. Port: ', '443'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '192.168.1.127'), ('Scr. Port: ', '63639'), ('Dst. Port: ', '443'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '192.168.1.127'), ('Scr. Port: ', '63639'), ('Dst. Port: ', '443'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
(('Name: ', <UDP Layer>), ('Src. IP: ', '142.250.74.110'), ('Scr. Port: ', '443'), ('Dst. Port: ', '63639'))
