(('Name: ', <RTCP Layer>), ('Scr. Port: ', '3478'), ('Dst. Port: ', '55242'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '64360'), ('Dst. Port: ', '53'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '53'), ('Dst. Port: ', '64360'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '3478'), ('Dst. Port: ', '61103'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '3478'), ('Dst. Port: ', '55242'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '3478'), ('Dst. Port: ', '55242'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '3478'), ('Dst. Port: ', '55242'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '3478'), ('Dst. Port: ', '61103'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '3478'), ('Dst. Port: ', '55242'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '3478'), ('Dst. Port: ', '55242'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '3478'), ('Dst. Port: ', '61103'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '3478'), ('Dst. Port: ', '55242'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '3478'), ('Dst. Port: ', '55242'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '3478'), ('Dst. Port: ', '61103'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '3478'), ('Dst. Port: ', '55242'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '3478'), ('Dst. Port: ', '55242'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '3478'), ('Dst. Port: ', '55242'))
(('Name: ', <RTCP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '3478'), ('Dst. Port: ', '55242'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '115'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '308'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1592'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '298'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1745'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '784'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1779'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1374'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1319'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1440'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1670'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '2034'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '671'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1857'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1721'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '182'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '902'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '993'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '370'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1716'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1674'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '533'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1125'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '888'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1254'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1718'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '2023'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '224'))
